"dyear","mtl","msl"
1958.458,2.404,2.454
1958.542,2.405,2.455
1958.625,2.428,2.478
1958.708,2.452,2.502
1958.792,2.394,2.444
1958.875,2.324,2.374
1958.958,2.545,2.595
1959.042,2.416,2.466
1959.125,2.255,2.305
1959.208,2.445,2.495
1959.292,2.391,2.441
1959.375,2.293,2.343
1959.458,2.358,2.408
1959.542,2.363,2.413
1959.625,2.33,2.38
1959.708,2.323,2.373
1959.792,2.463,2.513
1959.875,2.565,2.615
1959.958,2.589,2.639
1960.042,2.412,2.462
1960.125,2.501,2.551
1960.208,2.427,2.477
1960.292,2.307,2.357
1960.375,2.354,2.404
1960.458,2.338,2.388
1960.542,2.455,2.505
1960.625,2.454,2.504
1960.708,2.413,2.463
1960.792,2.573,2.623
1960.875,2.664,2.714
1960.958,2.454,2.504
1961.042,2.429,2.479
1961.125,2.465,2.515
1961.208,2.333,2.383
1961.292,2.468,2.518
1961.375,2.408,2.458
1961.458,2.383,2.433
1961.542,2.358,2.408
1961.625,2.416,2.466
1961.708,2.507,2.557
1961.792,2.544,2.594
1961.875,2.464,2.514
1961.958,2.55,2.6
1962.042,2.517,2.567
1962.125,2.252,2.302
1962.208,2.333,2.383
1962.292,2.205,2.255
1962.375,2.234,2.284
1962.458,2.304,2.354
1962.542,2.334,2.384
1962.625,2.372,2.422
1962.708,2.411,2.461
1962.792,2.449,2.499
1962.875,2.414,2.464
1962.958,2.376,2.426
1963.042,2.342,2.392
1963.125,2.43,2.48
1963.208,2.433,2.483
1963.292,2.411,2.461
1963.375,2.307,2.357
1963.458,2.409,2.459
1963.542,2.383,2.433
1963.625,2.363,2.413
1963.708,2.274,2.324
1963.792,2.401,2.451
1963.875,2.646,2.696
1963.958,2.485,2.535
1964.042,2.321,2.371
1964.125,2.381,2.431
1964.208,2.376,2.426
1964.292,2.361,2.411
1964.375,2.422,2.472
1964.458,2.401,2.451
1964.542,2.358,2.408
1964.625,2.366,2.416
1964.708,2.411,2.461
1964.792,2.376,2.426
1964.875,2.378,2.428
1964.958,2.384,2.434
1965.042,2.41,2.46
1965.125,2.206,2.256
1965.208,2.359,2.409
1965.292,2.281,2.331
1965.375,2.36,2.41
1965.458,2.437,2.487
1965.542,2.337,2.387
1965.625,2.358,2.408
1965.708,2.423,2.473
1965.792,2.46,2.51
1965.875,2.493,2.543
1965.958,2.485,2.535
1966.042,2.472,2.522
1966.125,2.634,2.684
1966.208,2.253,2.303
1966.292,2.415,2.465
1966.375,2.378,2.428
1966.458,2.446,2.496
1966.542,2.378,2.428
1966.625,2.424,2.474
1966.708,2.44,2.49
1966.792,2.497,2.547
1966.875,2.336,2.386
1966.958,2.378,2.428
1967.042,2.366,2.416
1967.125,2.434,2.484
1967.208,2.339,2.389
1967.292,2.213,2.263
1967.375,2.424,2.474
1967.458,2.297,2.347
1967.542,2.334,2.384
1967.625,2.376,2.426
1967.708,2.424,2.474
1967.792,2.513,2.563
1967.875,2.376,2.426
1967.958,2.266,2.316
1968.042,2.314,2.364
1968.125,2.375,2.425
1968.208,2.305,2.355
1968.292,2.378,2.428
1968.375,2.341,2.391
1968.458,2.384,2.434
1968.542,2.298,2.348
1968.625,2.341,2.391
1968.708,2.472,2.522
1968.792,2.527,2.577
1968.875,2.57,2.62
1968.958,2.506,2.556
1969.042,2.535,2.585
1969.125,2.379,2.429
1969.208,2.369,2.419
1969.292,2.303,2.353
1969.375,2.436,2.486
1969.458,2.425,2.475
1969.542,2.344,2.394
1969.625,2.395,2.445
1969.708,2.424,2.474
1969.792,2.508,2.558
1969.875,2.443,2.493
1969.958,2.301,2.351
1970.042,2.493,2.543
1970.125,2.256,2.306
1970.208,2.165,2.215
1970.292,2.236,2.286
1970.375,2.265,2.315
1970.458,2.377,2.427
1970.542,2.368,2.418
1970.625,2.365,2.415
1970.708,2.43,2.48
1970.792,2.363,2.413
1970.875,2.511,2.561
1970.958,2.321,2.371
1971.042,2.522,2.572
1971.125,2.317,2.367
1971.208,2.278,2.328
1971.292,2.345,2.395
1971.375,2.402,2.452
1971.458,2.387,2.437
1971.542,2.36,2.41
1971.625,2.426,2.476
1971.708,2.375,2.425
1971.792,2.439,2.489
1971.875,2.34,2.39
1971.958,2.378,2.428
1972.042,2.383,2.433
1972.125,2.482,2.532
1972.208,2.379,2.429
1972.292,2.334,2.384
1972.375,2.37,2.42
1972.458,2.41,2.46
1972.542,2.339,2.389
1972.625,2.324,2.374
1972.708,2.347,2.397
1972.792,2.437,2.487
1972.875,2.42,2.47
1972.958,2.545,2.595
1973.042,2.378,2.428
1973.125,2.278,2.328
1973.208,2.303,2.353
1973.292,2.24,2.29
1973.375,2.394,2.444
1973.458,2.321,2.371
1973.542,2.364,2.414
1973.625,2.343,2.393
1973.708,2.411,2.461
1973.792,2.375,2.425
1973.875,2.414,2.464
1973.958,2.408,2.458
1974.042,2.607,2.657
1974.125,2.431,2.481
1974.208,2.309,2.359
1974.292,2.371,2.421
1974.375,2.354,2.404
1974.458,2.366,2.416
1974.542,2.369,2.419
1974.625,2.382,2.432
1974.708,2.439,2.489
1974.792,2.262,2.312
1974.875,2.47,2.52
1974.958,2.369,2.419
1975.042,2.505,2.555
1975.125,2.372,2.422
1975.208,2.295,2.345
1975.292,2.265,2.315
1975.375,2.243,2.293
1975.458,2.278,2.328
1975.542,2.349,2.399
1975.625,2.306,2.356
1975.708,2.384,2.434
1975.792,2.405,2.455
1975.875,2.371,2.421
1975.958,2.248,2.298
1976.042,2.318,2.368
1976.125,2.313,2.363
1976.208,2.294,2.344
1976.292,2.188,2.238
1976.375,2.29,2.34
1976.458,2.273,2.323
1976.542,2.299,2.349
1976.625,2.27,2.32
1976.708,2.334,2.384
1976.792,2.554,2.604
1976.875,2.315,2.365
1976.958,2.438,2.488
1977.042,2.402,2.452
1977.125,2.516,2.566
1977.208,2.441,2.491
1977.292,2.257,2.307
1977.375,2.271,2.321
1977.458,2.3,2.35
1977.542,2.301,2.351
1977.625,2.269,2.319
1977.708,2.361,2.411
1977.792,2.494,2.544
1977.875,2.411,2.461
1977.958,2.487,2.537
1978.042,2.287,2.337
1978.125,2.421,2.471
1978.208,2.369,2.419
1978.292,2.29,2.34
1978.375,2.245,2.295
1978.458,2.293,2.343
1978.542,2.279,2.329
1978.625,2.294,2.344
1978.708,2.389,2.439
1978.792,2.278,2.328
1978.875,2.29,2.34
1978.958,2.607,2.657
1979.042,2.422,2.472
1979.125,2.395,2.445
1979.208,2.318,2.368
1979.292,2.258,2.308
1979.375,2.295,2.345
1979.458,2.284,2.334
1979.542,2.287,2.337
1979.625,2.342,2.392
